name,address,phone,timestamp,product1,unit_price1,quantity1,product2,unit_price2,quantity2,product3,unit_price3,quantity3
"Pamela Marsh","130 Nathan Parkways Suite 149, New Michael, KY 86943","(228)563-6118","2022-04-27 12:05:20","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Sarah Garcia","56394 Tran Vista, Matthewton, WI 80088","(203)579-8361","2022-11-06 09:46:49","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Christine Boyer","USS Bailey, FPO AP 91181","5764973275","2022-05-10 07:39:27","Commodore 64",80.15,1,"",0.00,0,"",0.00,0
"Robert Santos","310 Virginia Center Suite 343, Jennifermouth, NJ 63551","(785)753-4672","2022-01-27 07:47:27","Amiga",70.84,1,"",0.00,0,"",0.00,0
"Brian Oconnell","PSC 9140, Box 8145, APO AA 76065","0509507682","2022-02-05 05:39:37","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Jeffery Herring","3212 Danielle Mews Suite 836, Port Lauramouth, NE 76338","+1-481-863-5646","2022-11-01 04:06:42","Apple II",52.90,1,"",0.00,0,"",0.00,0
"Anthony Morgan","3149 Williams Coves, Heatherborough, WI 69605","(952)111-4437","2022-11-14 17:02:14","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Robin Wiley","40926 Susan Lodge, Christopherchester, IA 37495","118.676.5022","2022-02-20 00:23:31","Commodore 64",71.48,1,"Amiga",84.24,1,"Oric 1",45.17,1
"Daniel Hall","906 Anne Points Suite 510, Port Jonathanchester, SC 21741","111.148.0817","2022-01-22 21:40:23","Amiga",82.92,1,"",0.00,0,"",0.00,0
"Mrs. Regina White","Unit 6629 Box 0564, DPO AA 47407","110.677.9138","2022-06-28 23:33:18","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Tammy Jackson","781 Catherine Loaf, New Thomasmouth, OK 55351","538-593-7741","2022-12-18 11:20:27","Apple II",52.90,1,"",0.00,0,"",0.00,0
"Matthew Crosby","6884 Kim Unions Apt. 976, East Stephen, NH 89959","+1-578-690-8096","2022-11-10 21:30:16","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Zachary Mccoy","79826 Elizabeth Flats Apt. 716, New Jefferyborough, MS 20577","001-415-788-8632","2022-12-12 21:31:59","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"John Smith","2856 Kevin Cove, Padillamouth, VI 67816","001-868-994-0929","2022-08-03 17:35:06","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Olivia Herman","6147 Bell Causeway Suite 063, East Amber, FM 79169","789.031.6778","2022-07-16 00:15:13","Amiga",84.24,1,"Oric Atmos",132.54,1,"",0.00,0
"Katie Meyer","0745 Hawkins Rapids Apt. 536, Hillberg, FL 02423","532.620.3834","2022-12-24 21:58:02","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Ricardo Delacruz","803 Santos Plain, Gillespieborough, TN 27213","001-937-695-6459","2022-04-21 05:58:09","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Megan Parker","3639 Gonzales Lodge Suite 629, Danielport, ME 74118","792-552-3095","2022-01-09 19:57:16","Sharp X68000",124.96,1,"Apple II",59.68,1,"",0.00,0
"Jamie Wood DVM","02537 Woodward Forest Apt. 300, Emilyview, WY 80698","258-379-9526","2022-02-04 05:14:59","ZX Spectrum",128.76,1,"",0.00,0,"",0.00,0
"Tiffany Mcdaniel","0487 Melendez Mill Suite 261, West Diamond, NJ 68903","001-207-021-5885","2022-06-14 23:21:47","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Laura Collins","942 Francis River Apt. 933, New Tiffanymouth, NM 59528","(481)084-7225","2022-07-28 18:21:39","Apple II",52.90,1,"PET",60.92,1,"ZX Spectrum",120.78,1
"Blake Rodriguez","1966 Scott Mountains, East Jessicafort, OK 99691","383-117-1409","2022-03-03 07:33:19","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Steven Murphy","0945 Davis Lock, New Emily, WY 99623","(647)795-4347","2022-08-03 05:59:04","Commodore 64",71.19,1,"",0.00,0,"",0.00,0
"Christopher Garcia","946 Jesse Spurs, Port Matthewton, GU 92373","+1-487-137-6824","2022-05-18 09:37:05","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Colton Brown","17854 Sanchez Isle Suite 778, West Davidchester, IN 70487","513-107-7325","2022-09-28 15:19:22","Vector-06C",118.68,2,"Commodore 64",62.83,1,"",0.00,0
"Janice Marshall","630 Sierra Bridge, Hillhaven, VI 02989","001-933-438-8978","2022-12-29 12:47:06","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Mary Moore","9548 Mcdonald Cliffs Apt. 512, North Kelly, GU 60195","(804)651-1885","2022-01-23 11:51:06","Commodore 64",66.54,1,"",0.00,0,"",0.00,0
"Allison Mccann","714 James Light Apt. 697, Bradleyshire, VI 88654","348-853-3167","2022-05-04 15:11:49","Amiga",84.24,3,"",0.00,0,"",0.00,0
"Nicholas Lee","2327 David Forest, North Monicahaven, PA 82135","970-154-4289","2022-03-14 14:42:53","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Courtney Taylor","5077 Price Spring, West Robin, KS 60824","001-099-814-7529","2022-12-27 01:47:46","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Daniel Garza","443 Timothy Grove Suite 188, West Tammyside, AZ 97000","049-917-3246","2022-04-28 01:36:08","ZX Spectrum",137.76,1,"",0.00,0,"",0.00,0
"Kristen Smith","97783 Alexander Village Suite 629, Brandonfort, MA 19506","001-099-634-6300","2022-03-26 00:17:28","ZX Spectrum",122.18,1,"",0.00,0,"",0.00,0
"Warren Norman","6980 Robinson Crest, Davidberg, IL 29749","(907)142-7134","2022-08-01 00:38:10","Amiga",69.10,1,"",0.00,0,"",0.00,0
"Michelle Burke","6597 Wright Road, Lihaven, MD 13501","606.719.6790","2022-10-26 03:53:54","Amiga",98.82,1,"ZX Spectrum",99.84,1,"",0.00,0
"Raymond Keith","28399 Dennis Loaf, Thomasshire, WY 27241","2022931303","2022-12-21 15:42:40","ZX Spectrum",139.97,1,"",0.00,0,"",0.00,0
"Hayden Collins","9982 Smith Ramp Suite 310, Richton, GA 20772","+1-031-890-3757","2022-05-08 19:11:47","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Rhonda Dixon","7694 Diaz Green Suite 082, Port Jasonside, NV 35832","001-068-512-0790","2022-11-15 00:14:13","Amiga",92.04,1,"",0.00,0,"",0.00,0
"Cynthia Matthews","0626 Christopher Plaza, North Kimberlyshire, SD 14482","+1-374-092-9410","2022-12-16 16:18:24","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Amanda Robinson","3024 Christina Falls Suite 207, Harrismouth, PR 32793","+1-162-869-4693","2022-07-30 12:33:30","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Amy Jacobson","817 Ricardo Rapids Apt. 174, North Jessicaport, GU 35427","(578)063-4455","2022-06-09 07:57:28","ZX Spectrum",97.29,1,"",0.00,0,"",0.00,0
"Jacob Clark","34085 Antonio Lane Apt. 063, Port Vincentview, MN 89403","001-767-747-9551","2022-11-28 10:33:11","ZX Spectrum",139.24,1,"",0.00,0,"",0.00,0
"Jason Jones","7379 Elliott Lake Apt. 244, Brownchester, IA 72497","028-554-0239","2022-09-08 12:21:34","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Victoria Johnson","524 Farmer Skyway Suite 324, North Walter, MO 54493","(471)088-0587","2022-05-31 16:29:16","Apple II",52.90,1,"",0.00,0,"",0.00,0
"Donna Smith","USNV Hawkins, FPO AP 94246","680-279-3622","2022-02-21 23:32:48","Pravetz 8D",101.38,1,"",0.00,0,"",0.00,0
"Mary Moore","9548 Mcdonald Cliffs Apt. 512, North Kelly, GU 60195","(804)651-1885","2022-12-14 17:47:59","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Amber Jones","08941 Robert Springs, East Lisa, MN 39493","569.338.1979","2022-04-30 05:49:23","Commodore 64",71.48,1,"Amiga",84.24,1,"",0.00,0
"Brittany Miranda","13319 Elizabeth Fork, Robertshire, AZ 44161","018-356-5002","2022-11-18 15:28:12","Commodore 64",71.48,1,"Apricot F1",123.83,1,"Gama",89.72,1
"Kristen Palmer","93915 Vaughan Squares, North Kathleen, IA 63895","001-265-105-6861","2022-02-12 23:27:15","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Annette Pope","9634 Thomas Union, North Michael, AK 08599","(130)483-8430","2022-10-09 03:02:25","Amiga",82.93,1,"",0.00,0,"",0.00,0
"Jeffrey Mason","906 Ashley Stream Apt. 969, Brownbury, NE 01586","5665287621","2022-06-18 15:13:40","Apple II",52.90,1,"ZX Spectrum",120.78,1,"",0.00,0
"Nathan Castillo","18998 Rebecca Pine, Potterport, WY 68727","+1-311-939-2618","2022-10-26 14:41:44","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Joseph Wong","857 Price Coves, Mollybury, MI 63226","7139380418","2022-09-19 17:24:28","Amiga",81.18,1,"",0.00,0,"",0.00,0
"Philip Leon","4847 Chad Light Apt. 614, Kristineberg, WY 50475","094.257.6018","2022-08-05 22:19:26","Commodore 64",78.59,1,"",0.00,0,"",0.00,0
"Samuel Ward MD","847 Saunders Wells Apt. 799, Kaylaview, HI 33757","908.948.6225","2022-04-01 02:10:16","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Sara Myers","9464 Marissa Junctions, Kennedyfort, OH 01724","001-046-050-1829","2022-08-22 08:26:59","Matra Alice",83.30,1,"",0.00,0,"",0.00,0
"Toni Hart","06121 Joseph Creek Suite 697, North Samantha, PR 65024","624-935-5748","2022-05-03 19:45:34","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Laura Andrade","11465 Jennifer Brook, Lake David, IA 68296","982-447-3059","2022-06-16 19:42:45","Amiga",82.85,1,"",0.00,0,"",0.00,0
"Sarah Stewart","62568 Gary View, Estradachester, FL 87681","369-779-9927","2022-03-28 09:29:05","Amiga",70.63,1,"",0.00,0,"",0.00,0
"Douglas Thompson","6580 Phillips Road, Beardport, SD 10528","+1-451-075-8648","2022-03-02 20:55:23","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Alexander Brock","966 Darryl Mission Apt. 662, Townsendfort, MT 75695","4100179397","2022-01-29 16:19:03","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Mary Oneill","3932 Matthew Dale, Christinefurt, MN 80698","(413)481-4961","2022-04-02 07:25:53","Amiga",92.59,1,"",0.00,0,"",0.00,0
"Chelsea Daniel","15903 Boyle Locks, New Matthewchester, VA 80196","602-160-8322","2022-10-25 14:33:53","ZX Spectrum",133.77,1,"",0.00,0,"",0.00,0
"Lucas Harris","2795 Jeffrey Forges Apt. 061, Christophershire, IA 45315","(504)681-8705","2022-01-28 06:47:41","Apple II",57.33,1,"ZX Spectrum",113.53,1,"",0.00,0
"Amanda Jimenez","6271 James Forest, Lewisville, WY 05364","066-347-4177","2022-07-05 01:54:18","Amiga",84.24,1,"PCW",107.83,1,"",0.00,0
"Todd Sharp","902 Carpenter Plaza Suite 549, East Mary, ID 09665","(582)362-8180","2022-09-14 14:07:31","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Nicole Hartman","56236 Gonzalez Ville Apt. 065, Mortonhaven, NJ 01931","+1-404-423-0905","2022-10-05 15:49:23","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Anita Bishop","595 Susan Loaf, East Terri, SD 60402","(592)623-7087","2022-09-23 02:02:56","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Sherry Michael","54076 Derrick Lakes Apt. 034, North Rachaelbury, TX 42962","966.655.5138","2022-11-05 21:07:00","Amiga",97.32,1,"",0.00,0,"",0.00,0
"Richard Rodriguez","Unit 8259 Box 2000, DPO AA 13426","745.314.3776","2022-01-18 03:52:17","Apple II",52.90,1,"",0.00,0,"",0.00,0
"Karen Thompson","2932 Kathryn Burgs Suite 089, South Colin, MD 07897","001-204-945-9101","2022-06-02 19:09:18","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Michael Porter","014 Chan Lock Suite 166, Bradymouth, GA 28810","(785)040-6669","2022-07-29 04:40:42","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Victoria Reed","4953 Simon Forge Apt. 659, East Thomasberg, NE 54628","659-395-0610","2022-01-12 23:44:41","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Mary Conley","794 Peters Burg Apt. 970, Bradyland, WI 59140","443.862.2521","2022-06-20 16:33:57","ZX Spectrum",112.43,1,"",0.00,0,"",0.00,0
"Mary Nash","9759 John Parkways Suite 681, Jonesburgh, AZ 96751","+1-534-935-6199","2022-12-02 09:14:27","Oric Telestrat",106.57,1,"",0.00,0,"",0.00,0
"Jacqueline Obrien","4226 Cynthia Cove Apt. 449, East Laura, GU 58095","3097819600","2022-09-06 20:02:19","Commodore 64",71.48,1,"Galeb",122.45,1,"",0.00,0
"James Castillo","9854 Logan Vista, Christinafurt, AL 44458","109-133-1197","2022-07-17 05:13:28","ZX Spectrum",139.58,1,"",0.00,0,"",0.00,0
"Katrina Johnson","25731 Gray Parks, West James, DE 07774","503.111.3573","2022-05-30 05:37:06","ZX Spectrum",98.49,1,"Commodore 64",71.48,1,"",0.00,0
"Katie Meyer","0745 Hawkins Rapids Apt. 536, Hillberg, FL 02423","532.620.3834","2022-10-18 18:51:14","BBC Micro",50.34,1,"",0.00,0,"",0.00,0
"Tracy Lang","574 Edgar Highway, Christopherhaven, OH 65093","4130899440","2022-09-15 05:13:30","Commodore 64",63.67,1,"",0.00,0,"",0.00,0
"Jessica Wallace","86567 Brooks Dale Suite 676, West Nicholasville, PR 97159","(592)634-5536","2022-03-17 13:44:23","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Nicole Wong","5551 Timothy Keys, Rachaelville, GA 41743","+1-184-924-9351","2022-11-29 12:06:39","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Pamela Kim","287 Green Stream Suite 007, Lake Anna, AZ 03175","+1-252-585-2845","2022-09-22 17:18:26","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Nicole Garcia","22956 Jessica Stravenue Apt. 265, Port Emilyton, IN 11668","001-886-967-4570","2022-02-24 23:13:43","Commodore 64",66.85,1,"",0.00,0,"",0.00,0
"Daniel Reynolds","504 Peggy Wells, Lake Donna, LA 26248","+1-183-312-8356","2022-12-31 22:27:44","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Richard Parsons","USCGC Wise, FPO AP 52675","388.423.6020","2022-11-28 14:11:35","Commodore 64",59.25,1,"",0.00,0,"",0.00,0
"Abigail Wells","638 Miller Crossing, Travishaven, AK 68227","+1-858-806-0436","2022-03-11 09:21:39","Commodore 64",71.48,1,"Amiga",84.24,1,"",0.00,0
"Austin Robles","7250 Davis Point Suite 946, Julieside, AZ 77121","808-164-9213","2022-06-18 16:36:12","Amiga",87.62,2,"Commodore 64",71.48,1,"",0.00,0
"Brian Murphy","452 Laura Ford, New Cynthiaside, DC 65309","001-509-613-9384","2022-04-01 02:05:06","Commodore 64",71.48,1,"Amiga",84.24,1,"",0.00,0
"Donna Holden","27243 Trujillo Point Suite 616, New Jamesside, AR 23016","040.784.7676","2022-12-12 12:20:36","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Brandon Weiss","155 Jennifer Pass Apt. 789, East Terrymouth, WI 71405","+1-899-243-4541","2022-12-11 15:06:27","Amiga",77.51,1,"",0.00,0,"",0.00,0
"Adrian Ross","3686 Jenkins Shore, South Josephmouth, KS 78972","411-165-0237","2022-05-26 21:28:59","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Pamela Bartlett","Unit 4644 Box 3060, DPO AP 87438","(229)050-7757","2022-09-16 20:47:15","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"April King","47487 Joel Glen Apt. 776, New Candaceton, MO 99598","(868)890-1440","2022-05-23 09:10:14","Euro PC",85.42,2,"",0.00,0,"",0.00,0
"Regina Blake","2786 Robert Fall, Lindseyview, MN 49629","7668120706","2022-07-08 18:25:00","Amiga",84.24,1,"ZX Spectrum",123.71,1,"",0.00,0
"Laura Warner DVM","67192 Reese Rapid, Christinaburgh, MS 96511","281.185.0606","2022-10-15 12:02:04","Commodore 64",71.48,2,"",0.00,0,"",0.00,0
"Trevor Perez","85250 Avila Curve, New Nancy, NY 28953","+1-471-774-6545","2022-03-25 08:47:37","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Katherine Craig","31440 Nelson Isle, Williamsshire, NV 14572","7921222635","2022-08-29 02:25:11","Commodore 64",71.48,1,"TI-99/4",109.49,2,"",0.00,0
"Pamela Kim","287 Green Stream Suite 007, Lake Anna, AZ 03175","+1-252-585-2845","2022-07-06 09:26:31","Amiga",90.15,1,"ZX Spectrum",120.78,1,"",0.00,0
"Edwin Cooper","93370 Vargas Causeway, Fisherberg, ND 60711","+1-971-439-3625","2022-05-10 03:33:50","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Linda Mullen","4236 Bryant Spring Apt. 692, Shepardton, KY 98356","320-494-4848","2022-11-16 01:04:21","TI-99/4",95.40,1,"Apple II",52.90,1,"",0.00,0
"Stephanie Hernandez","545 Rhonda Ferry, West Jonathanfort, WV 11245","+1-034-967-5954","2022-03-29 10:33:59","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Lisa Garcia","801 Nelson Forge Apt. 389, Ericafort, DE 25139","239.559.1558","2022-06-22 10:42:28","Amiga",94.35,1,"",0.00,0,"",0.00,0
"Lisa White","0052 Joyce Path, Russellland, VA 35098","661-374-4706","2022-01-14 13:02:56","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Scott Allen","3759 Gonzalez Unions, South Allen, CO 63821","639.359.4526","2022-03-13 05:11:07","ZX Spectrum",113.80,1,"Amiga",79.26,1,"Commodore 64",71.48,1
"Kendra Howard","9754 Baker Brooks Apt. 949, Kingbury, ME 19123","142.593.2628","2022-06-07 05:22:08","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Craig Guzman","2125 Ponce Bridge, Erinton, NJ 35852","073.303.4150","2022-07-17 04:24:09","Commodore 64",61.35,1,"",0.00,0,"",0.00,0
"Francisco Ellis","126 Jake Rapid, West Prestonhaven, CT 59761","001-607-331-0722","2022-07-31 14:01:44","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Gail Clark","15087 Corey Forest, West Bradley, ME 54769","001-410-916-3215","2022-11-21 09:44:44","Apple II",52.90,1,"",0.00,0,"",0.00,0
"Kim Allen","7002 Cynthia Extensions Apt. 042, Patriciashire, FM 67256","(922)069-2366","2022-10-16 22:35:28","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Derek Arnold","43438 Jill Cape Apt. 378, East Jessicamouth, MO 35459","9517682012","2022-02-19 10:39:09","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Jessica Carter","303 Stevens Junction Apt. 344, Port Michael, MP 84740","001-406-667-2334","2022-10-15 16:39:21","Commodore 64",77.34,1,"",0.00,0,"",0.00,0
"Helen Gray","419 Chapman Glen, West Seanmouth, SC 04616","987-937-2459","2022-03-22 10:17:24","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Taylor Velasquez","69872 Madeline Drive Apt. 509, South Benjaminchester, TN 98575","697-720-6207","2022-02-12 13:11:18","Amiga",84.24,1,"",0.00,0,"",0.00,0
"George Eaton","433 Moreno Corners Suite 706, Fernandezchester, AZ 31084","(724)936-2618","2022-07-30 14:56:34","ZX Spectrum",114.52,1,"",0.00,0,"",0.00,0
"Darlene Boyd","90109 Brown Walks, Port Melodyberg, FM 34438","001-386-181-6108","2022-05-06 15:37:35","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Alan Contreras","0679 Renee Port, Davidbury, PA 44759","+1-553-078-5924","2022-06-26 16:30:37","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Corey Weber","099 Evans Village, North Levi, NY 01360","+1-455-421-4193","2022-11-23 17:04:14","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Christopher Jimenez","USNV Keller, FPO AE 30029","861.545.0899","2022-02-19 21:55:14","ZX Spectrum",121.34,1,"",0.00,0,"",0.00,0
"Nathan Bauer","322 Greene Brook, South Alicebury, AZ 65245","+1-924-653-4794","2022-04-25 07:53:35","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Natasha Coleman MD","776 Manuel Vista, Robertton, KS 76347","(720)936-6932","2022-06-11 19:34:45","ZX Spectrum",124.96,1,"",0.00,0,"",0.00,0
"Ricky Burton Jr.","42250 Webster Union, West Robertton, AS 02307","092.958.5166","2022-10-23 19:35:57","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Angela Mitchell","0474 Armstrong Crescent Suite 269, Ruizstad, MN 52373","276-691-3862","2022-11-26 06:38:56","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Andrew Ramirez","58174 Jennifer Roads, Lake Jennifer, SD 82160","964.335.3718","2022-09-15 03:32:29","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Jeremiah Young DDS","Unit 2057 Box 4058, DPO AE 59343","267.215.1516","2022-07-16 08:00:42","Commodore 64",71.46,1,"Amiga",84.24,1,"",0.00,0
"Andre Parker","89292 Kelsey Wells, West Natashamouth, NY 52662","(750)225-2320","2022-12-06 02:13:41","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Mary Nash","9759 John Parkways Suite 681, Jonesburgh, AZ 96751","+1-534-935-6199","2022-02-01 17:42:09","Apple II",52.90,1,"",0.00,0,"",0.00,0
