customer,product,timestamp,rating,comment
"Christopher Garcia","Commodore 64","2022-07-10 03:13:34",5,""
"Christopher Garcia","ZX Spectrum","2022-01-15 18:33:53",5,""
"Christopher Garcia","Amiga","2022-05-19 02:38:29",5,"You letter step head no coach. Recently report open computer buy."
"Christopher Garcia","Alpha","2022-10-08 19:04:37",4,""
"Nicholas Lee","Bally Astrocade","2022-06-05 09:10:07",5,""
"Nicholas Lee","VIC-20","2022-02-27 13:26:33",5,""
"Nicholas Lee","Commodore 64","2022-11-19 03:12:33",5,"City center office ready end. Run else quickly him admit through camera. Concern Republican this education themselves PM."
"Nicholas Lee","ZX Spectrum","2022-03-25 17:29:54",1,""
"Courtney Taylor","Commodore 64","2022-01-07 18:05:56",5,""
"Courtney Taylor","ZX Spectrum","2022-01-06 01:21:56",5,""
"Daniel Garza","Commodore 64","2022-07-03 22:47:05",4,"Ability use western increase actually skill avoid."
"Daniel Garza","ZX Spectrum","2022-02-24 07:06:40",5,""
"Raymond Keith","Commodore 64","2022-07-21 13:02:56",5,""
"Raymond Keith","ZX Spectrum","2022-08-11 21:45:49",5,""
"Amy Jacobson","ZX Spectrum","2022-10-06 14:57:43",4,""
"Jacob Clark","BBC Micro","2022-06-21 11:22:53",5,"Stay industry relate fish growth fire coach. Strong similar support number six according."
"Jacob Clark","Commodore 64","2022-08-25 15:01:54",4,"Economy never but population forward take standard contain. Mention modern clear board."
"Victoria Johnson","Apple II","2022-01-05 22:00:26",1,""
"Kristen Palmer","ZX Spectrum","2022-11-19 00:56:25",5,"Letter country end eye same really according. Act enter adult offer."
"Sara Myers","Matra Alice","2022-09-08 01:34:53",1,""
"Toni Hart","Commodore 64","2022-07-18 20:59:17",5,"Argue simple talk responsibility interview test. Into night democratic next cut generation generation."
"Toni Hart","Amiga","2022-09-16 21:44:03",4,""
"Sarah Stewart","BBC Micro","2022-03-08 21:03:37",3,""
"Sarah Stewart","Amiga","2022-06-07 08:26:06",1,""
"Nicole Hartman","ZX Spectrum","2022-12-01 13:34:54",4,""
"Anita Bishop","Commodore 64","2022-05-29 19:49:16",4,""
"Michael Porter","Apple II","2022-09-24 08:14:57",4,"Three here southern next worker."
"Victoria Reed","Commodore 64","2022-03-09 01:02:36",1,"High dog article enjoy marriage work center. Second wish full near treat. Go defense within."
"Victoria Reed","Amiga","2022-01-09 21:14:59",5,"Seat begin all major group either part media. Up much some page process."
"Mary Conley","Commodore 64","2022-03-01 12:18:22",5,""
"Mary Conley","ZX Spectrum","2022-04-27 10:24:18",5,""
"Tracy Lang","Commodore 64","2022-05-15 07:23:23",5,""
"Jessica Wallace","ZX Spectrum","2022-04-28 13:42:01",5,""
"Nicole Garcia","Commodore 64","2022-11-04 04:15:29",1,""
"Abigail Wells","Commodore 64","2022-10-27 02:25:22",3,""
"Austin Robles","Amiga","2022-01-12 12:07:41",5,""
"Pamela Bartlett","Commodore 64","2022-12-28 11:50:33",5,""
"Regina Blake","Amiga","2022-05-02 13:33:33",5,""
"Laura Warner DVM","Commodore 64","2022-01-30 07:20:10",4,""
"Trevor Perez","Commodore 64","2022-10-03 02:59:56",5,"Seat notice but although like game. It according institution none purpose family."
"Edwin Cooper","ZX Spectrum","2022-09-13 06:05:30",4,""
"Stephanie Hernandez","Commodore 64","2022-11-06 10:41:21",2,"Cultural example imagine light community. Anyone number family suddenly culture. Approach direction including page think road sense."
"Lisa Garcia","ZX Spectrum","2022-11-11 12:54:48",3,""
"Lisa Garcia","Amiga","2022-07-21 02:11:18",3,"Heart day age."
"Gail Clark","Apple II","2022-07-09 01:47:34",1,""
"Gail Clark","Commodore 64","2022-05-03 04:39:07",5,"Gas outside quickly move show. Read social arrive receive hit off deal before."
"Gail Clark","ZX Spectrum","2022-04-25 23:39:17",5,""
"Darlene Boyd","Commodore 64","2022-05-06 08:43:56",1,""
"Nathan Bauer","Amiga","2022-09-03 07:56:15",4,"Age clear friend at agree capital."
"Natasha Coleman MD","Commodore 64","2022-04-21 12:25:54",5,"Wind everybody floor election goal morning. Force plant yet network indicate. None three support simply usually."
"Natasha Coleman MD","ZX Spectrum","2022-03-02 08:10:53",5,"Road particularly service. Receive imagine help party pretty hundred. Conference together thought remember his group quickly."
"Natasha Coleman MD","Amiga","2022-09-04 01:39:13",1,"Arrive also stock apply nation. Air whatever guy arm particular car. Arm plan camera price."
"Andrew Ramirez","Commodore 64","2022-12-09 04:29:27",5,"Amount alone southern already. Support general different. Ability time but guy break develop owner."
"Andrew Ramirez","Amiga","2022-08-27 04:34:04",5,""
"Thomas Duran","ZX Spectrum","2022-12-27 14:34:16",5,""
"Thomas Duran","Amiga","2022-10-12 14:18:02",5,""
"Cindy Martinez","Commodore 64","2022-12-04 07:59:44",5,""
"Cindy Martinez","Amiga","2022-07-23 11:54:50",4,"Story field month floor husband apply hold student. Anyone along hear city throw shoulder sing. Reach majority read audience help."
"Aaron Quinn","ZX Spectrum","2022-12-14 03:03:55",3,"Subject watch only company people. Spend meeting help its phone toward. Local true painting perhaps along."
"Aaron Quinn","Ivel Ultra","2022-05-16 22:45:42",5,""
"Gregory Frazier","Apple II","2022-09-20 13:23:00",4,"Scene green too suddenly season. Degree great nothing message occur."
"Gregory Fields","Apple II","2022-01-26 17:51:24",5,""
"Gregory Fields","Commodore 64","2022-07-20 12:15:51",5,""
"Gregory Fields","Amiga","2022-01-20 09:28:26",4,""
"Gregory Fields","BK-0010","2022-07-17 01:52:47",5,""
"Thomas Lopez","Commodore 64","2022-12-23 05:09:45",3,""
"Amanda Jackson","ZX Spectrum","2022-01-02 06:05:48",3,""
"Jonathan Coleman","Amiga","2022-03-23 21:11:21",3,"Give bar marriage production scene wish big. Skin then born voice. Shake within interest gun along number hear."
"Michael Parks","Commodore 64","2022-04-13 11:06:31",5,""
"Heather Nichols","ZX Spectrum","2022-07-16 13:10:27",5,""
"Heather Nichols","Amiga","2022-04-14 23:55:34",3,""
"Andrea Kim","Commodore 64","2022-07-06 20:53:17",2,""
"Andrea Kim","ZX Spectrum","2022-11-02 08:01:09",5,""
"Gregory Hart","Commodore 64","2022-10-11 11:00:28",5,""
"Gregory Hart","Amiga","2022-07-16 05:47:11",3,"Either exist nothing dinner likely serve four. Admit activity off discover. Tree least whether development lay result network."
"Joseph Downs","BBC Micro","2022-09-03 11:46:45",2,""
"Lisa Avila","Commodore 64","2022-12-22 21:06:32",5,"Why network yes whose. Could go six need same customer. Seek career work field claim house picture."
"Joel Reed","Aamber Pegasus","2022-07-03 22:27:17",5,""
"Joel Reed","TVC","2022-03-02 20:57:27",5,""
"Andrew Robinson","Commodore 64","2022-07-05 01:25:02",4,"Animal executive main some. Forward put great claim able a white decision. Card if direction large almost fact."
"Mark Arellano","Amiga","2022-01-02 14:59:18",1,""
"Joshua Porter","Apple II","2022-01-21 02:52:05",2,"Agreement term say not story. Security north how maintain girl young wife. History probably maintain chance drop look start."
"Joshua Porter","Amiga","2022-01-25 02:02:12",4,"Dog phone no. Occur significant federal understand effect region those."
"Brenda Bennett","Commodore 64","2022-08-20 20:19:56",5,"Assume throw enough tend carry could take. Must change why. Table address create pay choose national stage."
"Brenda Bennett","ZX Spectrum","2022-07-15 06:21:58",5,""
"Brenda Bennett","Amiga","2022-01-15 20:50:52",4,"Nor yourself program in treatment culture gas pay. Crime edge put choice as member small. Grow expert economic law easy water marriage table."
"Keith Green","Commodore 64","2022-11-30 17:56:11",4,""
"Keith Green","Amiga","2022-01-13 03:15:15",4,""
"Angela Lee","Apple II","2022-07-07 11:36:49",5,""
"Angela Lee","Sharp X1","2022-04-10 14:25:38",1,""
"Walter Lane","Commodore 64","2022-07-01 13:12:52",1,""
"Melissa Rojas","Commodore 64","2022-01-13 22:04:26",2,"Ahead contain safe end poor during. Professor trade which rock partner customer property."
"Nicholas Barnes","Apple II","2022-11-26 23:35:48",4,"Beyond let month most. Available foot nor seem such kid keep. Travel once mouth amount firm. Wrong weight economy score."
"Nicholas Barnes","Commodore 64","2022-08-14 00:10:50",4,"Senior read film yes. Scientist memory others senior. Only spring could memory international magazine. Per someone claim fly south."
"Nicholas Barnes","Amiga","2022-02-13 23:23:45",4,""
"Erin Moody","Commodore 64","2022-06-16 14:06:42",5,""
"Erin Moody","Euro PC","2022-09-27 08:11:34",4,""
"Deanna Reed","Commodore 64","2022-08-27 23:19:37",5,""
"Deanna Reed","Apple IIc Plus","2022-06-02 04:47:46",5,""
"Donald Mcclain","Apple II","2022-08-20 10:11:19",5,""
"John Rogers","Amiga","2022-05-01 09:26:34",5,""
"Edward Bryan","Amiga","2022-08-24 18:34:08",4,"Month floor major she discover state start before. Sell by beat your medical base. Community church increase personal idea material every cut. Morning accept half."
"Olivia Roberts","ZX Spectrum","2022-08-03 08:30:30",1,"Stuff west represent such statement. Exactly house task follow southern side movie. Cup might human particular."
"Logan Williams","Commodore 64","2022-11-30 10:13:16",4,""
"Logan Williams","ZX Spectrum","2022-10-08 13:15:53",5,"Manager baby get language. Interview he military among end coach degree bar."
"Katherine Smith","ZX Spectrum","2022-03-01 05:37:59",4,""
"Sylvia Wolfe","Amiga","2022-10-30 09:28:45",4,""
"Sylvia Wolfe","Lambda 8300","2022-07-22 17:01:52",1,""
"Amy Brown","ZX Spectrum","2022-12-03 17:24:50",4,"Bill while hospital visit now carry. Event employee strong less evidence their within rate."
"Amy Brown","464 Plus","2022-02-08 00:46:45",3,""
"Christine Young","ZX Spectrum","2022-11-03 18:55:40",4,""
"Christine Young","Amiga","2022-04-03 10:42:45",4,""
"Susan Gentry","ZX Spectrum","2022-02-21 16:10:32",5,""
"Susan Gentry","Amiga","2022-07-15 14:26:10",4,""
"Michael Moore","Commodore 64","2022-07-13 22:07:26",2,""
"Michael Moore","ZX Spectrum","2022-08-26 05:22:18",5,""
"Michael Moore","Enterprise 64","2022-11-25 06:51:48",1,""
"John Sandoval","Commodore 64","2022-06-09 19:15:22",5,""
"William Jackson","CPC 664","2022-02-10 12:00:02",3,"Happen technology hand fear director artist. Sort doctor help compare."
"Isabella Mcbride","Amiga","2022-09-10 02:33:52",5,""
"Thomas Fisher","VIC-20","2022-04-01 04:18:51",5,""
"Thomas Fisher","Commodore 64","2022-12-24 08:22:36",5,""
"Thomas Fisher","Amiga","2022-09-29 19:54:50",5,""
"Andrew Thompson","Amiga","2022-01-31 16:28:45",2,"Keep professional threat name. Close investment discussion they. Economic protect accept safe edge. Identify kitchen close out."
"Deborah Lee","Apple II","2022-11-15 20:00:05",5,"Point kind much few or figure walk."
"Deborah Lee","ZX Spectrum","2022-07-20 14:54:18",4,""
"Deborah Lee","Amiga","2022-10-30 08:15:17",2,""
"William Duncan","Commodore 64","2022-05-30 06:32:34",1,""
"Manuel Anderson","Apple II","2022-12-12 19:09:43",4,""
"Manuel Anderson","Commodore 64","2022-03-06 17:02:57",5,""
"Manuel Anderson","Aamber Pegasus","2022-12-11 16:26:32",5,"Common necessary wife computer learn vote third. The doctor new live focus especially bar. Man maintain suggest sign contain. Energy manager public."
"Gina Fowler","Commodore 64","2022-01-10 07:41:38",3,""
"Melissa Schmidt","BBC Micro","2022-07-23 16:49:12",5,""
"Melissa Schmidt","Commodore 64","2022-01-30 04:06:01",5,"Investment democratic politics response even drop. Worry wear indeed whole quickly drug heart western. Set case listen experience plant girl."
"Melissa Schmidt","Amiga","2022-11-19 12:30:08",1,""
"Melissa Schmidt","Apple IIGS","2022-01-11 04:31:01",4,"Training behavior individual movement. Scene remember me dream including. Future join because than leave."
"Pam Knox","Apple II","2022-03-05 13:24:38",5,""
"Deanna Tran","Rabbit RX83","2022-09-24 20:40:01",2,""
"Deanna Tran","Amiga","2022-08-17 07:32:34",4,""
"Crystal Austin","Commodore 64","2022-09-02 21:22:35",4,"Say town significant game best. Expert likely message remember. Including doctor oil listen walk."
"Dylan Nunez","Apple II","2022-06-16 19:16:48",1,""
"Dylan Nunez","Commodore 64","2022-12-22 07:04:56",2,""
"Dylan Nunez","Coleco Adam","2022-09-13 00:45:39",5,"Positive behind woman reduce time bit. Mouth administration above range. Option interesting music describe."
"Dylan Nunez","Timex Computer 2068","2022-06-28 10:41:57",5,""
"Dylan Nunez","Amiga","2022-04-09 16:31:33",4,""
"Eric Church","Commodore 64","2022-11-25 08:55:46",5,""
"Eric Church","Amiga","2022-10-30 09:24:42",1,""
"Laura Roth","ZX Spectrum","2022-02-18 12:18:05",5,""
"Laura Roth","Amiga","2022-02-19 06:51:31",5,"Shoulder teacher health. Their first just tell simply quickly."
"Laura Roth","Komputer 2086","2022-03-04 00:07:22",4,"Safe city job who area above low. Its relate customer difference plan claim collection. Card national watch president senior."
"Michelle Clark DVM","ZX Spectrum","2022-09-21 15:55:52",5,""
"Randy Cooper","Commodore 64","2022-04-25 03:40:10",5,""
"Zachary Knight","Apple II","2022-12-18 10:05:33",1,""
"Zachary Knight","Amiga","2022-12-26 12:52:27",4,""
"Daniel Barrera","Timex Computer 2048","2022-03-22 05:40:03",5,""
"Meghan Serrano","ZX Spectrum","2022-07-26 11:19:07",5,"Bank soon and cultural crime best avoid. Man staff local federal customer goal we."
"Meghan Serrano","Amiga","2022-02-15 19:58:24",5,""
"Pamela Quinn","Commodore 64","2022-02-03 19:14:29",4,"Enjoy thank heart practice low. Another just focus. Decision behavior food radio town blood them."
"Pamela Quinn","Amiga","2022-04-10 10:55:43",3,""
"Jennifer Harrison","Commodore 64","2022-11-27 23:54:56",4,"Executive available office writer show grow often stuff. Too expert street find mention."
"Jennifer Harrison","ZX Spectrum","2022-10-23 01:22:38",5,""
"Amber Skinner","Commodore 64","2022-08-14 16:32:33",4,""
"Amber Skinner","ZX Spectrum","2022-09-10 04:31:47",2,"Later bar morning half opportunity race phone table. Matter employee opportunity degree school. Particular research weight and."
"Amber Skinner","Amiga","2022-09-27 02:05:58",5,"Lawyer industry window fine mouth knowledge. Last international if local site."
"David Weaver","Apple II","2022-08-16 00:38:07",4,"Off still clearly stage learn build piece. Plant make international."
"David Weaver","Commodore 64","2022-11-26 08:44:49",1,"Among society rather perform trade. Magazine walk affect watch product left. Here interview at modern."
"Kevin Kemp","ZX Spectrum","2022-10-31 16:25:10",3,""
"Michael Krueger","MO5","2022-08-24 02:15:36",1,"Do report mean fast performance up question. Become figure these capital decision. Down my political give."
"Erin Mason","ZX Spectrum","2022-08-27 01:06:35",4,"Learn administration coach building trial. Begin I production job."
"Jeffrey Morgan","ZX Spectrum","2022-06-11 17:36:38",1,""
"Ashley Carpenter","Commodore 64","2022-01-19 13:27:09",4,"Exist small heavy. Recognize especially shoulder trouble teach break seven likely."
"Ashley Carpenter","Amiga","2022-07-30 13:00:38",2,"Quality art certainly interest industry pass total become. Organization owner after whom. Fear why defense hospital."
"Cameron Berry","Amiga","2022-03-11 20:03:49",5,"Several child just relationship. North popular us. Hope positive enter student theory recognize."
"Richard Andrade","Commodore 64","2022-02-05 13:48:46",4,"Question bill drug course every machine. Chance picture student safe letter compare."
"Rhonda Guzman","Commodore 64","2022-09-06 19:16:22",1,"Interest late anyone change call write leg. None them play."
"Jessica Cline","Commodore 64","2022-06-08 08:45:39",4,""
"Jessica Cline","Apple IIGS","2022-10-17 02:23:30",2,""
"Eugene Hughes","ZX Spectrum","2022-09-08 23:32:39",1,"Issue music baby street entire party officer result. Across bar radio various ago product within. Day like use detail draw door international produce. American walk prepare Republican."
"Kim Kim","ZX Spectrum","2022-12-24 03:25:14",5,""
"Cheryl Castaneda","Commodore 64","2022-10-21 18:45:34",1,""
"Cheryl Castaneda","Amiga","2022-08-06 07:55:31",4,"Expect develop have wonder threat positive serve dinner. Both able them condition."
"Steve Hutchinson","Apple II","2022-07-25 12:22:59",5,""
"Steve Hutchinson","ZX Spectrum","2022-01-31 09:14:54",4,"Sell usually hotel. Go operation six thing. Couple whatever occur ever sometimes."
"Steve Hutchinson","VTech Laser 200","2022-10-01 14:14:44",5,"Rate answer hair charge enjoy. Walk apply thus side staff. Collection plant nation quite successful tax."
"Russell Moore","BBC Micro","2022-04-05 02:21:51",5,"Born five inside despite. Story state wait office main operation so only. Office stand face perhaps."
"Russell Moore","Commodore 64","2022-08-18 06:45:32",5,""
"Russell Moore","ZX Spectrum","2022-08-25 22:59:58",4,""
"Russell Moore","Hobbit","2022-07-16 21:41:17",5,""
"Sarah Kerr","Atari 800XL","2022-10-04 23:58:35",5,""
"Courtney Woods","Apple II","2022-09-25 11:35:57",4,"Company such citizen process sound medical throughout. Democratic try never."
"Kenneth Morris","ZX Spectrum","2022-02-11 20:00:09",4,"Open network source for mind billion system decade. Expect drive street child. Understand election allow ahead project."
"Jason Jordan","Commodore 64","2022-11-30 03:15:21",1,""
"Jason Jordan","ZX Spectrum","2022-05-23 09:59:58",3,"Town several star far consumer stop. Message system radio dark second. Trade of region laugh reduce Mrs."
"Jason Jordan","Amiga","2022-08-20 11:14:58",2,""
"Robert Griffin","Commodore 64","2022-04-27 11:51:41",2,""
"Erika Frazier","Commodore 64","2022-07-25 08:14:46",5,""
"Yolanda Thomas","Commodore 64","2022-06-21 15:35:34",5,""
"Yolanda Thomas","Amiga","2022-07-03 14:54:38",3,""
"Amber Gomez","ZX Spectrum","2022-09-17 21:14:27",4,""
"Kevin Rodriguez","Commodore 64","2022-06-01 20:18:36",4,"Determine real bad range stand know painting. Low ground tend event every. Unit go human themselves."
"William Brown DDS","Commodore 64","2022-06-25 02:20:35",4,""
"William Brown DDS","Amiga","2022-12-03 05:55:11",5,""
"Scott Marks","Amiga","2022-11-28 23:32:56",4,""
"Scott Marks","TK82C","2022-12-22 15:11:24",5,""
"Adam Perez","ZX Spectrum","2022-02-13 10:33:31",5,""
"Karen Robinson","Amiga","2022-08-08 18:49:36",4,"Protect soon speech film manage live. Beautiful goal worker reflect without main care. Low financial young democratic thousand. Treatment smile require."
"Mary Mclaughlin","ZX Spectrum","2022-10-28 05:26:47",1,"Main behavior picture start name process. Should industry kid determine campaign. Affect hour when."
"Mary Mclaughlin","Amiga","2022-10-05 04:43:29",5,"More security response dinner question when worker. Past believe environmental state one smile positive. Item impact outside gas eye worker weight."
"Michael Hunter","Apple II","2022-08-04 18:28:13",1,""
"Michael Hunter","Amiga","2022-05-16 07:06:12",4,"Dream teacher read real end. Prove stand move rock generation hundred would."
"Patrick Olson","BBC Micro","2022-03-17 06:42:07",5,"Source view nature reality month growth you. Former mind suggest understand international test this."
"Caitlin Snyder","ZX Spectrum","2022-01-24 20:07:02",5,""
"Caitlin Snyder","Commodore 128","2022-08-30 08:32:02",1,"Production minute hour its fine exactly. Child number federal school charge yet once."
"Caitlin Snyder","Amiga","2022-08-19 16:15:04",4,""
"Lindsey Francis","Amiga","2022-03-26 13:02:18",4,""
"Kevin Giles","Amiga","2022-12-27 13:23:20",1,""
"Emily Rose","ZX Spectrum","2022-01-30 02:01:16",5,"College write situation fight hold popular right. Republican center consumer magazine."
"Danielle Lamb","Atari 65XE","2022-01-07 09:02:22",3,""
"Danielle Lamb","Amiga","2022-04-22 11:30:04",5,"By short fish well imagine. Economy learn by above system great. Read resource play."
"Jenna Smith","Matra Alice","2022-03-22 12:24:20",1,""
"Ronnie Serrano","Commodore 64","2022-05-13 12:44:58",4,""
"Ronnie Serrano","Amiga","2022-02-09 09:45:36",5,""
"Ronnie Serrano","Tomy Tutor","2022-10-02 14:04:43",5,""
"Bradley Welch","Apple II","2022-11-07 10:38:18",5,"Include value behind. Still hair him source. Land else include another."
"Bradley Welch","Commodore 64","2022-11-03 19:27:35",5,""
"Bradley Welch","ZX Spectrum","2022-03-28 16:32:11",5,""
"Bradley Welch","Amiga","2022-03-15 09:08:16",5,""
"Tara Wilson","Coleco Adam","2022-12-24 07:02:29",1,""
"Nicholas White","Commodore 64","2022-06-14 18:45:51",4,""
"Sherri Clark","Amiga","2022-11-09 04:23:17",4,""
"Sherri Clark","Sharp X68000","2022-03-15 19:51:30",4,"Particular yeah election drug. After company sea. Activity baby yeah possible meeting now. Step water institution six key night."
"Cathy Hernandez","BBC Micro","2022-04-27 18:04:57",2,""
"Cathy Hernandez","Poly-1","2022-12-07 05:09:26",5,"Option product central among green firm. Campaign growth special security less pattern house."
"Mercedes Brooks","ZX Spectrum","2022-05-08 13:02:47",4,""
"Christopher Gutierrez","Amiga","2022-08-08 15:10:25",5,""
"Jeremiah Mcdaniel","ZX Spectrum","2022-10-26 23:36:46",5,"Other major base rate green. Rate agent however."
"Amber Brooks","Commodore 64","2022-11-04 17:39:02",5,"Human general prevent size increase ready."
"Dale Carter","Apple II","2022-05-01 08:26:44",4,"Stuff meeting until summer. Language dinner political data imagine level."
"Dale Carter","ZX Spectrum","2022-05-21 16:36:08",5,"Perform already kid thought. Way southern about plant. Last have put pick."
"Sarah Pittman","Colour Genie","2022-12-24 09:10:58",4,""
"Sarah Pittman","Amiga","2022-05-17 03:50:19",4,"Form likely gun prepare PM wish. Might analysis news. Gun doctor owner quality admit sure despite budget."
"Douglas Mccarthy","Amiga","2022-10-21 05:44:07",4,""
"David Hughes","Commodore 64","2022-10-29 00:00:22",4,"Later wide difficult forward. Feel easy attack church step than camera. Return page weight cup record ahead."
"David Hughes","Amiga","2022-04-24 21:51:06",4,""
"Robert Bryan","Commodore 64","2022-08-23 17:00:08",5,""
"Jennifer Garcia","ZX Spectrum","2022-05-11 21:18:33",3,""
"Jason Davis","Commodore 64","2022-01-23 00:52:20",5,"End so since food. There poor history cell. Capital dark dinner."
"Jason Davis","ZX Spectrum","2022-05-21 06:38:58",5,""
"Jason Davis","Amiga","2022-02-27 06:18:35",5,""
"Wesley Rhodes","Apple II","2022-10-09 12:09:18",5,"Their fast certain admit vote different ago. Every speak far deep. Surface grow buy say."
"Michael Williams","ZX Spectrum","2022-07-11 02:45:51",4,""
"Alexander Larson","Amiga","2022-11-05 14:28:02",4,""
"Christopher Mitchell","Commodore 64","2022-10-29 15:30:03",5,""
"William Russo","ZX Spectrum","2022-03-02 00:31:55",5,""
"Mark Solis","Dragon 64","2022-07-01 19:42:03",1,""
"Mark Solis","Gama","2022-09-18 13:04:11",5,""
"Jerome Mitchell","Commodore 64","2022-03-17 19:01:08",5,"Six street top item trouble home more. Side far other must buy send. Process order itself."
"Michael Werner","BBC Micro","2022-04-02 06:44:23",1,""
"John Clark","Amiga","2022-12-05 15:38:00",1,""
"John Clark","Lambda 8300","2022-04-22 11:49:18",4,"Or these reach age draw under contain. Office add mother serious article. Most best return war knowledge."
"Jessica Grant","Commodore 64","2022-08-10 01:34:20",1,"Likely law mother woman idea three present. Without product baby development ago site article mention. Music discuss top still thousand."
"Jessica Grant","ZX Spectrum","2022-06-15 16:48:27",5,"Trouble color form space doctor. Data happen ready travel type provide general thank. Not campaign wish capital. Long artist take represent smile next language."
"Jessica Grant","Amiga","2022-04-06 12:39:12",1,"Might deep green win. Leave off cup art. Describe example TV tree. Scene hundred center card television."
"Jeffrey Miller","Commodore 64","2022-12-20 16:58:44",1,""
"Kevin Jacobson","Apple II","2022-07-21 13:20:26",2,""
"Kevin Jacobson","Commodore 64","2022-02-26 09:04:17",1,"Like none enjoy direction statement reach. Identify future later own."
"Kevin Jacobson","Amiga","2022-06-02 00:52:33",1,""
"Jerry Lewis","ZX Spectrum","2022-10-17 22:59:49",4,"Us strong street strong democratic. Care protect produce."
"Jerry Lewis","Amiga","2022-11-07 04:10:54",4,""
"Diana Lynn","Commodore 64","2022-02-17 00:09:37",4,""
"Diana Lynn","Electron","2022-07-26 00:22:14",1,"Argue firm financial enjoy those challenge institution. Song six Democrat whose wonder race."
"Walter Wright","Commodore 64","2022-03-27 21:13:04",5,""
"Justin Smith","BBC Micro","2022-05-03 19:14:21",3,"Others majority technology. Miss wind budget few table a maybe."
"Justin Smith","Commodore 64","2022-04-19 05:49:53",5,""
"Justin Smith","ZX Spectrum","2022-09-08 22:51:30",5,""
"Justin Smith","Amiga","2022-09-02 04:04:39",5,""
"Emma Smith","Commodore 64","2022-10-26 04:13:55",4,""
"Emma Smith","ZX Spectrum","2022-05-06 02:08:18",3,""
"Robert Rice","Atari 800","2022-11-05 16:28:11",5,""
"Robert Rice","Commodore 64","2022-02-02 19:29:03",4,""
"Robert Rice","ZX Spectrum","2022-07-06 15:32:27",5,""
"Rachel Barber","Commodore 64","2022-06-29 13:10:48",5,""
"Rachel Barber","Pravetz 8D","2022-06-14 19:42:29",4,""
"Gary Hooper","ZX Spectrum","2022-12-18 06:54:15",1,""
"Gary Hooper","Vector-06C","2022-08-19 06:14:59",5,""
